
problem name = wfg8		



dimension =19		

GDs			0.175204	0.133629	0.202246
IGDs			0.001486	0.001293	0.001480
Ss			0.939350	0.960550	0.931850
SUs			1.238555	1.323309	1.216739
 GD 	0.170359	0.034564	0.175204	0.202246	0.133629
 IGD	0.001420	0.000110	0.001480	0.001486	0.001293
 HYP 	0.943917	0.014885	0.939350	0.960550	0.931850
 SU	1.259534	0.056298	1.238555	1.323309	1.216739
